Rank,Name,City,State,Tuition,Enrollment,Acceptance_Rate
#127,University of Maryland Baltimore County,Baltimore,MD,31225,"10,767",72%
#127,University of South Carolina,Columbia,SC,37376,"30,187",60%
#132,Clark University,Worcester,MA,60740,"2,266",40%
#132,CUNY--City College,New York,NY,19010,"12,982",60%
#132,Loyola University Chicago,Chicago,IL,56060,"12,538",82%
#132,Thomas Jefferson University,Philadelphia,PA,49450,"3,772",81%
#132,University of Alabama at Birmingham,Birmingham,AL,29480,"11,959",88%
#132,University of Houston,Houston,TX,27776,"39,257",74%
#132,University of Vermont,Burlington,VT,47554,"12,276",65%
#139,California State University--Fullerton,Fullerton,CA,18438,"38,597",91%
#139,Fairfield University,Fairfield,CT,60410,"5,391",33%
#139,University of the Pacific,Stockton,CA,58844,"3,249",71%
#139,Virginia Commonwealth University,Richmond,VA,39714,"21,210",92%
#143,Clarkson University,Potsdam,NY,61148,"2,296",77%
#143,Miami University--Oxford,Oxford,OH,40460,"16,816",75%
#143,Oregon State University,Corvallis,OR,40077,"31,253",77%
#143,Touro University,New York,NY,23100,"4,872",61%
#143,University of Dayton,Dayton,OH,50610,"7,737",65%
#143,University of Kansas,Lawrence,KS,30432,"22,085",93%
#143,University of Kentucky,Lexington,KY,35164,"25,534",93%
#143,University of North Carolina at Charlotte,Charlotte,NC,22274,"24,868",80%
#151,Colorado State University,Fort Collins,CO,36113,"26,221",89%
#151,James Madison University,Harrisonburg,VA,31596,"21,112",72%
#151,Seattle University,Seattle,WA,58965,"4,103",77%
#151,St. John's University (NY),Queens,NY,55640,"15,640",83%
#151,University of Massachusetts--Lowell,Lowell,MA,37460,"12,122",83%
#151,University of Rhode Island,Kingston,RI,38398,"14,376",72%
#151,University of Utah,Salt Lake City,UT,35198,"28,064",86%
#158,Kansas State University,Manhattan,KS,28568,"15,650",82%
#158,Michigan Technological University,Houghton,MI,44878,"6,022",84%
#158,Montclair State University,Montclair,NJ,27570,"18,712",88%
#158,Seton Hall University,South Orange,NJ,55040,"6,146",73%
#158,Stockton University,Galloway,NJ,25258,"7,565",89%
#158,SUNY College of Environmental Science and Forestry,Syracuse,NY,23220,"1,984",63%
#158,University of Cincinnati,Cincinnati,OH,31406,"33,572",85%
#158,University of Louisville,Louisville,KY,29482,"17,086",79%
#158,University of Nebraska -- Lincoln,Lincoln,NE,28764,"19,701",87%
#158,University of St. Thomas (MN),St Paul,MN,56460,"6,305",86%
#158,University of Tulsa,Tulsa,OK,52026,"2,852",62%
#169,The Catholic University of America,Washington,DC,60416,"3,177",83%
#169,DePaul University,Chicago,IL,47676,"14,188",76%
#169,Duquesne University,Pittsburgh,PA,51068,"5,371",84%
#169,Florida A&M University,Tallahassee,FL,17725,"7,890",21%
#169,Louisiana State University--Baton Rouge,Baton Rouge,LA,29229,"34,242",73%
#169,Mercer University,Macon,GA,43570,"4,690",69%
#169,Rowan University,Glassboro,NJ,28252,"16,199",78%
#169,The University of Alabama,Tuscaloosa,AL,35342,"34,389",77%
#169,University of Hawaii at Manoa,Honolulu,HI,34218,"15,375",87%
#169,University of Mississippi,University,MS,30310,"21,585",97%
#179,California State University--San Bernardino,San Bernardino,CA,21842,"14,993",93%
#179,Quinnipiac University,Hamden,CT,57700,"6,557",72%
#179,Samford University,Birmingham,AL,41910,"4,210",82%
#179,Wayne State University,Detroit,MI,36208,"16,467",81%
#183,Bradley University,Peoria,IL,43850,"3,596",77%
#183,California State University--Fresno,Fresno,CA,8224,"21,889",94%
#183,Drake University,Des Moines,IA,52130,"2,585",64%
#183,Florida Atlantic University,Boca Raton,FL,21655,"24,942",66%
#183,Hofstra University,Hempstead,NY,59960,"6,581",68%
#183,Simmons University,Boston,MA,48240,"1,675",70%
#183,University of Arkansas,Fayetteville,AR,31550,"28,859",74%
#183,University of Detroit Mercy,Detroit,MI,33606,"3,422",75%
#183,University of Idaho,Moscow,ID,28636,"9,574",76%
#192,East Carolina University,Greenville,NC,23714,"21,445",89%
#192,Indiana University Indianapolis,Indianapolis,IN,35227,"14,504",76%
#192,Missouri University of Science and Technology,Rolla,MO,35118,"5,552",73%
#192,St. John Fisher University,Rochester,NY,43174,"2,583",66%
#192,University of Nevada--Reno,Reno,NV,28930,"19,122",74%
#192,Washington State University,Pullman,WA,30994,"21,455",87%
#198,Adelphi University,Garden City,NY,49110,"5,325",66%
#198,Gallaudet University,Washington,DC,20206,875,58%
#198,Georgia State University,Atlanta,GA,31320,"27,438",55%
#198,Ohio University,Athens,OH,25796,"19,888",85%
#198,Oklahoma State University,Stillwater,OK,24764,"22,351",75%
#198,Texas Tech University,Lubbock,TX,24152,"32,580",73%
#198,University of North Carolina--Greensboro,Greensboro,NC,24014,"14,416",89%
#198,University of North Carolina--Wilmington,Wilmington,NC,25420,"15,254",64%
#198,University of St. Thomas (TX),Houston,TX,35754,"3,395",90%
#198,Valparaiso University,Valparaiso,IN,50390,"2,123",89%
